Parameter;Value;;s;iObs(s);Fit
;;;0.275269348847514;3729.34633;3729.33282876093
;;;0.276375619118697;3719.28507;3719.29753944369
;;;0.277481730281062;3707.778077;3707.76730510387
;;;0.278587523141543;3694.810311;3694.80398735353
;;;0.279693315932238;3680.42088;3680.40109924398
;;;0.280798631250504;3664.648856;3664.66127597174
;;;0.281903946520918;3647.542791;3647.54641060769
;;;0.2830089434962;3629.128612;3629.11420683027
;;;0.284113622057803;3609.439417;3609.4436664834
;;;0.285218141438538;3588.540881;3588.54206318238
;;;0.28632250164668;3566.494977;3566.49824802657
;;;0.287426702689712;3543.314176;3543.31604000669
;;;0.288530585428026;3519.102619;3519.10348674491
;;;0.289634308966938;3493.900513;3493.90429412925
;;;0.290737714118951;3467.783898;3467.77938373016
;;;0.291840960145752;3440.792547;3440.80233707663
;;;0.292944046941276;3413.002896;3413.01972836098
;;;0.294046815412387;3384.494732;3384.52162605348
;;;0.295149424723033;3355.329809;3355.34580803839
;;;0.296251715733432;3325.572877;3325.59446201226
;;;0.297353847431692;3295.30731;3295.30291183658
;;;0.298455820039071;3264.578714;3264.57990469561
;;;0.299557474291597;3233.464864;3233.48676060647
;;;0.300658969408226;3202.039955;3202.04028951651
;;;0.301760146079812;3170.379116;3170.36784082156
;;;0.302861163678511;3138.503327;3138.51871144323
;;;0.303961862850487;3106.526748;3106.54040162777
;;;0.305062402900286;3074.485913;3074.51618819446
;;;0.306162783713781;3042.476676;3042.48246706912
;;;0.307262846256027;3010.50305;3010.50184356495
;;;0.308362590292999;2978.650388;2978.6553114818
;;;0.309462175322359;2946.978351;2946.96908397808
;;;0.310561601117254;2915.500532;2915.51995914402
;;;0.311660708556435;2884.321786;2884.31097710595
;;;0.312759497624586;2853.425336;2853.43621774812
;;;0.313858127570402;2822.903097;2822.93102891201
;;;0.314956598274169;2792.78139;2792.80669510846
;;;0.316054750640344;2763.094255;2763.10649134329
;;;0.317152743811843;2733.874331;2733.89087709404
;;;0.318250418761581;2705.136313;2705.12991745932
;;;0.319347775252665;2676.91645;2676.9368176352
;;;0.320444972540983;2649.254193;2649.26480231687
;;;0.321542010721761;2622.172175;2622.17586029113
;;;0.32263873046763;2595.663674;2595.66266687598
;;;0.323735131979021;2569.748622;2569.78442582405
;;;0.324831374257839;2544.476563;2544.51062054006
;;;0.325927298191836;2519.827002;2519.85717239016
;;;0.327023062929249;2495.829153;2495.83801888424
;;;0.328118509318987;2472.454235;2472.46948641902
;;;0.329213796545341;2449.7374;2449.75483444746
;;;0.33030876541894;2427.672983;2427.7016884135
;;;0.33140341591829;2406.262109;2406.2751869603
;;;0.332497907335551;2385.501975;2385.52337345151
;;;0.333592080261076;2365.390708;2365.42326513585
;;;0.33468609413098;2345.925758;2345.93372490845
;;;0.33577978960816;2327.090813;2327.11074242667
;;;0.336873166669146;2308.891702;2308.91318915789
;;;0.337966384636804;2291.304229;2291.32633012226
;;;0.339059284174705;2274.336533;2274.35621757459
;;;0.340152024638723;2257.960628;2257.98101606348
;;;0.341244446656964;2242.183116;2242.19220621627
;;;0.342336550422225;2226.985227;2226.98943432604
;;;0.343428494956742;2212.340674;2212.35480467279
;;;0.344520121109667;2198.236801;2198.24659977183
;;;0.345611428963204;2184.683857;2184.69976743729
;;;0.346702577641615;2171.646393;2171.65745922732
;;;0.347793407888651;2159.124921;2159.13801565178
;;;0.348884079077427;2147.07948;2147.0958080917
;;;0.349974431809314;2135.525606;2135.53537567739
;;;0.351064466273022;2124.424798;2124.43696235477
;;;0.352154182329895;2113.764988;2113.78914745105
;;;0.353243739303861;2103.553287;2103.57105205588
;;;0.354332977840845;2093.751893;2093.7659195694
;;;0.35542189801869;2084.353785;2084.36454802236
;;;0.356510659041201;2075.34243;2075.36071380386
;;;0.357599101670612;2066.70281;2066.70616720894
;;;0.35868722598316;2058.42766;2058.44561547458
;;;0.359775032054621;2050.488764;2050.48642287793
;;;0.360862678818219;2042.880155;2042.90775865868
;;;0.361950007193063;2035.614426;2035.62040340216
;;;0.363037176465393;2028.639335;2028.64682829831
;;;0.364123868244235;2021.952346;2021.95181370608
;;;0.365210400768868;2015.552195;2015.57823970677
;;;0.366296615008367;2009.425935;2009.43739243331
;;;0.367382670083742;2003.551028;2003.5728683021
;;;0.36846824760168;1997.937261;1997.94250738501
;;;0.369553665907211;1992.554834;1992.5605590432
;;;0.370638765912961;1987.399634;1987.40021591197
