Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
0.431998090043932;1665.90744423998;;;;;0.431998090043932;1659.567597;1665.90744423998;-6.33984723998242;-0.00382018017912796
0.442656965060687;1709.8057701043;;;;;0.442656965060687;1696.304884;1709.8057701043;-13.5008861042961;-0.00795899736635794
0.453282094763408;1800.12688926485;;;;;0.453282094763408;1781.196039;1800.12688926485;-18.9308502648507;-0.0106281677313177
0.463872683337787;1941.56207197908;;;;;0.463872683337787;1933.917313;1941.56207197908;-7.64475897907641;-0.0039529916443105
0.474428094098678;2065.36388204525;;;;;0.474428094098678;2074.537986;2065.36388204525;9.17410395475235;0.00442223956209224
0.484947212879189;2082.34527764118;;;;;0.484947212879189;2080.128151;2082.34527764118;-2.21712664117831;-0.00106586060099828
0.49542940294955;2016.25046610881;;;;;0.49542940294955;1999.09064;2016.25046610881;-17.1598261088095;-0.0085838159438381
0.505874027461083;1937.20800540815;;;;;0.505874027461083;1918.105783;1937.20800540815;-19.1022224081455;-0.00995889933571276
0.516279972417444;1874.28014880771;;;;;0.516279972417444;1858.670057;1874.28014880771;-15.6100918077113;-0.00839852761867102
0.526646760090737;1828.95661496364;;;;;0.526646760090737;1817.269178;1828.95661496364;-11.6874369636405;-0.00643131854385113
0.53697327644932;1797.18241567564;;;;;0.53697327644932;1788.822487;1797.18241567564;-8.35992867564255;-0.00467342552790849
0.5472588846414;1775.63732481056;;;;;0.5472588846414;1769.874121;1775.63732481056;-5.76320381056053;-0.00325627893090173
0.557502947960469;1761.9212587678;;;;;0.557502947960469;1757.633503;1761.9212587678;-4.2877557677989;-0.00243950502791417
0.567704511423778;1753.41769719776;;;;;0.567704511423778;1748.761899;1753.41769719776;-4.65579819776258;-0.00266233968181999
0.57786277911573;1746.12548123477;;;;;0.57786277911573;1738.989238;1746.12548123477;-7.13624323477325;-0.0041036730296161
0.587977114358548;1734.99583685748;;;;;0.587977114358548;1724.582559;1734.99583685748;-10.4132778574779;-0.00603814401527753
0.598046721284598;1716.81122531823;;;;;0.598046721284598;1704.637626;1716.81122531823;-12.1735993182344;-0.00714145876669417
0.608070644752534;1692.70878783702;;;;;0.608070644752534;1681.517709;1692.70878783702;-11.1910788370219;-0.00665534402470091
0.618048407317708;1666.90782092732;;;;;0.618048407317708;1658.723779;1666.90782092732;-8.18404192732282;-0.00493393899028611
0.62797889477568;1643.26740005634;;;;;0.62797889477568;1638.670575;1643.26740005634;-4.59682505633805;-0.00280521608581276
0.637861788686287;1623.46153481801;;;;;0.637861788686287;1622.149424;1623.46153481801;-1.31211081800666;-0.000808871734375229
0.64769597497312;1607.49009971062;;;;;0.64769597497312;1608.920664;1607.49009971062;1.4305642893778;0.00088914532666963
0.657480816747517;1594.6874758361;;;;;0.657480816747517;1598.394794;1594.6874758361;3.7073181638973;0.00231940079998615
0.667215677383437;1584.32088378234;;;;;0.667215677383437;1589.992557;1584.32088378234;5.67167321765737;0.00356710677209627
0.676899760995567;1575.81390060025;;;;;0.676899760995567;1583.252597;1575.81390060025;7.43869639975355;0.00469836361793983
