Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
cno;0;0;0;0;;0.117582529670113;3664.092589;3664.13685747582;-0.0442684758172618;-1.20817022883539e-05
mu;8.00013286351296;10;20;30;;0.123218778035669;3526.837888;3526.84456720621;-0.00667920620526274;-1.89382285700985e-06
beta;3.00015284710941;10;20;30;;0.128852798001098;3409.460862;3409.47972129428;-0.0188592942795367;-5.53145938401351e-06
a3;3.4994166501186;10;20;30;;0.134484430330948;3308.058094;3308.06112461847;-0.00303061847080244;-9.16132179268324e-07
da3;0.60397148161582;10;20;30;;0.140113356677289;3219.749635;3219.73577353557;0.0138614644347399;4.30513735728396e-06
a3min;2.89544516850278;20;40;60;;0.145739577021515;3136.256505;3136.28625855431;-0.0297535543113554;-9.48696455915534e-06
sig3;0.299917382217136;10;20;30;;0.151363250506901;3057.610466;3057.57496820443;0.0354977955657887;1.16096526881095e-05
u3;0;0;0;0;;0.156983899770614;2989.857498;2989.89853952293;-0.0410415229289356;-1.37269160675348e-05
eta;0.870052696488404;10;20;30;;0.162601524577739;2932.231751;2932.21302559467;0.0187254053312245;6.38605912538748e-06
nu;4;0;0;0;;0.16821612520082;2884.438532;2884.40266760393;0.0358643960698828;1.24337529373577e-05
alpha;0.299967498885015;10;20;30;;0.173827383023807;2846.501085;2846.50041396756;0.000671032440095587;2.35739393753151e-07
sig1;0.149990012750154;10;20;30;;0.179435457365942;2818.772822;2818.76516240585;0.00765959415093675;2.71735064676197e-06
lcc;1.41182742719496;10;20;30;;0.185040188988585;2802.122263;2802.12872265636;-0.00645965635885659;-2.30527284414092e-06
q;0;10;20;30;;0.190641259613451;2797.52955;2797.53007702266;-0.000527022655205656;-1.88388592787395e-07
dan;0;0;0;0;;0.196238669143473;2806.243748;2806.26806857955;-0.0243205795500216;-8.66659553980471e-06
k;780.152397877881;10;20;30;;0.201832417725642;2829.532828;2829.55793709931;-0.0251090993128855;-8.87393815134967e-06
const1;1499.98729981412;10;20;30;;0.207422345937024;2868.646845;2868.64439416655;0.0024508334499842;8.54351749242316e-07
const2;0;10;20;30;;0.213008294905333;2924.228333;2924.23252613954;-0.00419313954034806;-1.43393027590505e-06
g;0;10;20;30;;0.218590264431402;2996.336874;2996.31386085147;0.0230131485327547;7.68042763563931e-06
