Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3804.21918526466
mu;3.75333315046391;;0.123218778035669;3526.837888;3653.36490212679
beta;0.802977145161957;;0.128852798001098;3409.460862;3522.84147482243
a3;3.96272344074599;;0.134484430330948;3308.058094;3409.49361863041
da3;0.570933753035507;;0.140113356677289;3219.749635;3310.79716487858
a3min;3.39178968771049;;0.145739577021515;3136.256505;3224.60261328128
sig3;1;;0.151363250506901;3057.610466;3149.32869007252
u3;0;;0.156983899770614;2989.857498;3083.87036444725
eta;0.795958377613464;;0.162601524577739;2932.231751;3027.08987211009
nu;4;;0.16821612520082;2884.438532;2978.36926055278
alpha;0.197462720391359;;0.173827383023807;2846.501085;2937.14750919771
sig1;0.226825091865843;;0.179435457365942;2818.772822;2903.17707760952
lcc;1.412;;0.185040188988585;2802.122263;2876.41305429555
q;0;;0.190641259613451;2797.52955;2857.01726704666
dan;0;;0.196238669143473;2806.243748;2845.36872382584
k;662.104780198793;;0.201832417725642;2829.532828;2842.12167593504
const1;1891.92415025397;;0.207422345937024;2868.646845;2848.42249584278
const2;-0.0719179345954391;;0.213008294905333;2924.228333;2865.62789451324
g;0;;0.218590264431402;2996.336874;2895.47920724489
La;25.3212352695755;;0.224167936196142;3083.893799;2939.99514443429
lm;20.2569882156604;;0.229741469447832;3184.545011;3001.1124766028
kapa;0.25;;0.235310545782136;3294.193596;3080.04659347308
Nm;4.67427145726156;;0.240875165232284;3407.282674;3175.89554276761
N;5.91963691507706;;0.24643516853263;3516.636612;3284.125269896
Lc;23.4578839640811;;0.251990555699392;3614.24294;3394.35472222897
kapc;0.266429853123057;;0.257541167595122;3691.796106;3489.83363120481
;;;0.263086845133231;3741.767961;3549.3901136672
;;;0.268627429069643;3758.256147;3553.30443155053
;;;0.274162919343727;3737.90731;3491.48312543052
;;;0.279693315932238;3680.42088;3368.63279898475
;;;0.285218141438538;3588.540881;3202.99503767108
;;;0.290737714118951;3467.783898;3018.94523617805
;;;0.296251715733432;3325.572877;2838.47633889582
;;;0.301760146079812;3170.379116;2676.06806667465
;;;0.307262846256027;3010.50305;2538.14330451471
;;;0.312759497624586;2853.425336;2425.24760933776
