Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
cno;0;0;0;0;;0.117582529670113;3664.092589;3664.0808004478;0.0117885521976859;3.21731831588438e-06
mu;8.00011830428998;10;20;30;;0.123218778035669;3526.837888;3526.79165106194;0.0462369380611563;1.31100264683207e-05
beta;3.00016047345664;10;20;30;;0.128852798001098;3409.460862;3409.50607144368;-0.0452094436764128;-1.32599978431466e-05
a3;3.4994138438796;10;20;30;;0.134484430330948;3308.058094;3308.08910676048;-0.0310127604766421;-9.37491410229211e-06
da3;0.604040827595435;10;20;30;;0.140113356677289;3219.749635;3219.74061577305;0.00901922694765744;2.80121996120902e-06
a3min;2.89537301628417;20;40;60;;0.145739577021515;3136.256505;3136.24649278575;0.0100122142539476;3.19240924267054e-06
sig3;0.29991516835347;10;20;30;;0.151363250506901;3057.610466;3057.61652362621;-0.00605762621262329;-1.98116348697221e-06
u3;0;0;0;0;;0.156983899770614;2989.857498;2989.88908041375;-0.0315824137501295;-1.05631836203752e-05
eta;0.870048877606402;10;20;30;;0.162601524577739;2932.231751;2932.25348544682;-0.0217344468173906;-7.41225409962167e-06
nu;4;0;0;0;;0.16821612520082;2884.438532;2884.45822466459;-0.0196926645944586;-6.82720896146267e-06
alpha;0.299966234662631;10;20;30;;0.173827383023807;2846.501085;2846.51776549118;-0.0166804911805229;-5.85999818107322e-06
sig1;0.149990229440623;10;20;30;;0.179435457365942;2818.772822;2818.80275670592;-0.0299347059167303;-1.06197653401138e-05
lcc;1.41182707753518;10;20;30;;0.185040188988585;2802.122263;2802.14899635222;-0.0267333522233457;-9.5403946417115e-06
q;0;10;20;30;;0.190641259613451;2797.52955;2797.5572445445;-0.0276945444993544;-9.89964324035625e-06
dan;0;0;0;0;;0.196238669143473;2806.243748;2806.24571217574;-0.00196417574306906;-6.99930554667222e-07
k;922.827528396452;10;20;30;;0.201832417725642;2829.532828;2829.58529742954;-0.0524694295399968;-1.85434955978524e-05
const1;1774.30745016866;10;20;30;;0.207422345937024;2868.646845;2868.63574595849;0.0110990415091692;3.86908605655472e-06
const2;-0.0729413180703777;10;20;30;;0.213008294905333;2924.228333;2924.23744678335;-0.00911378335422341;-3.11664559548039e-06
g;0;10;20;30;;0.218590264431402;2996.336874;2996.37874908794;-0.0418750879407526;-1.39754272305339e-05
La;16.6685427298958;277.840316738361;555.680633476722;833.520950215084;;0.224167936196142;3083.893799;3083.91994563247;-0.0261466324750472;-8.4784477609202e-06
lm;13.3348341839166;444.544506781378;889.089013562756;1333.63352034413;;0.229741469447832;3184.545011;3184.53477286204;0.0102381379638246;3.21494528369364e-06
kapa;0.25;0;0;0;;0.235310545782136;3294.193596;3294.19957486639;-0.00597886638570344;-1.81497116410017e-06
Nm;2.66656346387786;12.221224485547;24.4424489710941;36.6636734566411;;0.240875165232284;3407.282674;3407.29099704448;-0.00832304447567367;-2.44272203747122e-06
N;2.99987896778084;6.666108368484;13.332216736968;19.998325105452;;0.24643516853263;3516.636612;3516.6430447684;-0.00643276839855389;-1.8292388746119e-06
Lc;10.4978179898155;53.326261587283;106.652523174566;159.978784761849;;0.251990555699392;3614.24294;3614.24195448088;0.000985519118330558;2.7267650091351e-07
kapc;0.124998151522804;0.15624537884118;0.31249075768236;0.468736136523539;;0.257541167595122;3691.796106;3691.77083974913;0.0252662508669346;6.8438911959063e-06
0.263086845133231;3741.76760875634;;;;;0.263086845133231;3741.767961;3741.76760875634;0.000352243664565322;9.41382972532544e-08
0.268627429069643;3758.24969675795;;;;;0.268627429069643;3758.256147;3758.24969675795;0.00645024204777656;1.71628590374965e-06
0.274162919343727;3737.91533130624;;;;;0.274162919343727;3737.90731;3737.91533130624;-0.0080213062351504;-2.14593502992732e-06
