Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
N;2.99985155672104;6.66547877259194;13.3309575451839;19.9964363177758;;0.138987666905207;3236.454634;3236.49441099054;-0.0397769905357563;-1.22902975737358e-05
Lc;10.4977360620973;53.3238153559322;106.647630711864;159.971446067797;;0.140113356677289;3219.749635;3219.73581811612;0.0138168838802812;4.29129138802783e-06
kapc;0.124987118620944;0.156217798211658;0.312435596423316;0.468653394634975;;0.141238887261257;3203.453207;3203.46674365882;-0.0135366588228862;-4.22564587280586e-06
0.142364258714782;3187.59299295696;;;;;0.142364258714782;3187.615982;3187.59299295696;0.0229890430396154;7.21198637772903e-06
0.143489470870494;3171.06762789253;;;;;0.143489470870494;3171.131063;3171.06762789253;0.0634351074681945;2.00039374620432e-05
0.14461452401106;3153.41709665418;;;;;0.14461452401106;3153.452564;3153.41709665418;0.0354673458232355;1.12471474053971e-05
0.145739577021515;3136.26649606616;;;;;0.145739577021515;3136.256505;3136.26649606616;-0.00999106616109202;-3.18566614215505e-06
0.146864630024656;3119.63176314791;;;;;0.146864630024656;3119.559024;3119.63176314791;-0.0727391479117614;-2.33171250654821e-05
0.14798936476348;3103.46557874151;;;;;0.14798936476348;3103.430802;3103.46557874151;-0.0347767415073577;-1.12059020246064e-05
0.149114099464821;3087.62042117585;;;;;0.149114099464821;3087.659911;3087.62042117585;0.0394898241474948;1.27895640341767e-05
0.150238675036261;3072.45641792667;;;;;0.150238675036261;3072.366298;3072.45641792667;-0.09011992666683;-2.93324161007413e-05
0.151363250506901;3057.6525952406;;;;;0.151363250506901;3057.610466;3057.6525952406;-0.0421292405985696;-1.37784852148559e-05
0.152487507747257;3043.20931912552;;;;;0.152487507747257;3043.171519;3043.20931912552;-0.0378001255157869;-1.24212931409822e-05
0.153611764966984;3029.24289154643;;;;;0.153611764966984;3029.249901;3029.24289154643;0.00700945357266392;2.31392384311046e-06
0.154735862912521;3015.76624487285;;;;;0.154735862912521;3015.674667;3015.76624487285;-0.091577872853577;-3.03672918885109e-05
0.155859960883342;3002.60204697484;;;;;0.155859960883342;3002.610668;3002.60204697484;0.00862102516248342;2.87117649129841e-06
0.156983899770614;2989.83139600961;;;;;0.156983899770614;2989.857498;2989.83139600961;0.026101990385996;8.73017874713306e-06
0.15810767940509;2977.51750203618;;;;;0.15810767940509;2977.574134;2977.51750203618;0.0566319638242021;1.90194975089081e-05
0.159231299842196;2965.62560467197;;;;;0.159231299842196;2965.590119;2965.62560467197;-0.0354856719718555;-1.19658046283959e-05
0.16035476113724;2954.16351496235;;;;;0.16035476113724;2954.101508;2954.16351496235;-0.062006962346004;-2.0990125822719e-05
0.161478222503194;2942.99372459952;;;;;0.161478222503194;2942.931085;2942.99372459952;-0.0626395995182065;-2.12847660067468e-05
0.162601524577739;2932.21436599575;;;;;0.162601524577739;2932.231751;2932.21436599575;0.0173850042547201;5.92893254388613e-06
0.163724667527806;2921.88023446845;;;;;0.163724667527806;2921.90515;2921.88023446845;0.0249155315491407;8.52715275481845e-06
0.164847651407849;2911.93471932886;;;;;0.164847651407849;2912.005428;2911.93471932886;0.0707086711358897;2.42817786175808e-05
0.165970635134742;2902.39064650777;;;;;0.165970635134742;2902.394271;2902.39064650777;0.00362449222529904;1.24879388769267e-06
0.167093459751923;2893.26628303025;;;;;0.167093459751923;2893.23781;2893.26628303025;-0.0284730302487333;-9.84123398025594e-06
0.16821612520082;2884.42593838164;;;;;0.16821612520082;2884.438532;2884.42593838164;0.0125936183594604;4.36605537602782e-06
0.169338631422745;2876.07796067197;;;;;0.169338631422745;2876.089509;2876.07796067197;0.0115483280264925;4.01528811615735e-06
0.170460978471111;2868.08622499714;;;;;0.170460978471111;2868.084551;2868.08622499714;-0.00167399713745908;-5.83663803382442e-07
0.171583325507391;2860.52246717363;;;;;0.171583325507391;2860.468891;2860.52246717363;-0.0535761736327913;-1.87298571228514e-05
