Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
const2;-0.0729165142399621;10;20;30;;0.132232095803505;3346.924067;3346.84061300577;0.0834539942261472;2.49345346818551e-05
g;0;10;20;30;;0.133358263077514;3327.164326;3327.22425242004;-0.0599264200386642;-1.80112594891606e-05
La;16.6681864740473;277.828440333613;555.656880667226;833.48532100084;;0.134484430330948;3308.058094;3308.05702791423;0.00106608576697909;3.22269360659869e-07
lm;13.3345491792378;444.525504533781;889.051009067562;1333.57651360134;;0.135610279313921;3289.450833;3289.48252349674;-0.0316904967448863;-9.63397793545508e-06
kapa;0.25;0;0;0;;0.136736287425988;3271.30124;3271.27090996389;0.0303300361088077;9.27155094674427e-06
Nm;2.66652250424066;12.2201572298269;24.4403144596538;36.6604716894808;;0.137861977159211;3253.657009;3253.70743618687;-0.0504271868721844;-1.5498617934434e-05
N;2.99981262357562;6.66549013314502;13.33098026629;19.9964703994351;;0.138987666905207;3236.454634;3236.52952484622;-0.0748908462219333;-2.31397793854982e-05
Lc;10.4975783083031;53.3234179843152;106.64683596863;159.970253952946;;0.140113356677289;3219.749635;3219.69377876238;0.0558562376218106;1.73480065079068e-05
kapc;0.124990551853554;0.15622638052656;0.31245276105312;0.46867914157968;;0.141238887261257;3203.453207;3203.5081559041;-0.0549489040977278;-1.71530222378952e-05
0.142364258714782;3187.61164449923;;;;;0.142364258714782;3187.615982;3187.61164449923;0.00433750076899742;1.36073504258061e-06
0.143489470870494;3171.16817616424;;;;;0.143489470870494;3171.131063;3171.16817616424;-0.0371131642446016;-1.17034469743711e-05
0.14461452401106;3153.45289346375;;;;;0.14461452401106;3153.452564;3153.45289346375;-0.000329463744947134;-1.04477152663817e-07
0.145739577021515;3136.27184152301;;;;;0.145739577021515;3136.256505;3136.27184152301;-0.0153365230071358;-4.89007292059354e-06
0.146864630024656;3119.61891020642;;;;;0.146864630024656;3119.559024;3119.61891020642;-0.0598862064248351;-1.91970102069257e-05
0.14798936476348;3103.40456352866;;;;;0.14798936476348;3103.430802;3103.40456352866;0.0262384713405481;8.45466614678143e-06
0.149114099464821;3087.71780463112;;;;;0.149114099464821;3087.659911;3087.71780463112;-0.0578936311158031;-1.87500025211822e-05
0.150238675036261;3072.39049595324;;;;;0.150238675036261;3072.366298;3072.39049595324;-0.0241979532447658;-7.87599878976599e-06
0.151363250506901;3057.60197030301;;;;;0.151363250506901;3057.610466;3057.60197030301;0.00849569698993946;2.77854131008834e-06
0.152487507747257;3043.22326990192;;;;;0.152487507747257;3043.171519;3043.22326990192;-0.0517509019223326;-1.70055817094852e-05
0.153611764966984;3029.20780811661;;;;;0.153611764966984;3029.249901;3029.20780811661;0.0420928833855214;1.38954806507135e-05
0.154735862912521;3015.65235671605;;;;;0.154735862912521;3015.674667;3015.65235671605;0.0223102839454441;7.3981070271212e-06
0.155859960883342;3002.55647299018;;;;;0.155859960883342;3002.610668;3002.55647299018;0.0541950098222514;1.80492963672676e-05
0.156983899770614;2989.91204752676;;;;;0.156983899770614;2989.857498;2989.91204752676;-0.0545495267610931;-1.82448584247185e-05
0.15810767940509;2977.57414126907;;;;;0.15810767940509;2977.574134;2977.57414126907;-7.2690709203016e-06;-2.44127285943894e-09
0.159231299842196;2965.60552575092;;;;;0.159231299842196;2965.590119;2965.60552575092;-0.0154067509197375;-5.19517205733499e-06
0.16035476113724;2954.10046673789;;;;;0.16035476113724;2954.101508;2954.10046673789;0.0010412621118121;3.52480139559274e-07
0.161478222503194;2942.97644616246;;;;;0.161478222503194;2942.931085;2942.97644616246;-0.0453611624598125;-1.54135999619619e-05
0.162601524577739;2932.22198021299;;;;;0.162601524577739;2932.231751;2932.22198021299;0.00977078700725542;3.33220148916375e-06
0.163724667527806;2921.88500413038;;;;;0.163724667527806;2921.90515;2921.88500413038;0.0201458696169539;6.89477193226271e-06
0.164847651407849;2912.00450211953;;;;;0.164847651407849;2912.005428;2912.00450211953;0.000925880472550489;3.17952866312613e-07
